,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dificuldade,dicas,tempo,nos_visitados,profundidade_maxima,total_podas,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
8x8_Suguru-736,Suguru-736,8x8,64,15,4.266666666666667,2,7,0.06382740800017928,20,5,403,8,True,260,54,12,68,5,4
8x8_Suguru-766,Suguru-766,8x8,64,14,4.571428571428571,3,9,0.05176599900005385,16,10,226,3,True,100,19,74,27,2,4
8x8_Suguru-818,Suguru-818,8x8,64,15,4.266666666666667,3,7,0.4207430840001507,115,14,1468,70,True,1021,187,42,110,93,15
8x8_Suguru-900,Suguru-900,8x8,64,14,4.571428571428571,3,11,0.11767801699988922,37,12,470,15,True,322,57,23,46,21,1
8x8_Suguru-1029,Suguru-1029,8x8,64,15,4.266666666666667,3,8,0.1031167109999842,33,14,463,9,True,267,55,34,35,65,7
8x8_Suguru-1130,Suguru-1130,8x8,64,14,4.571428571428571,3,11,0.019009717000244564,6,5,72,0,True,44,12,10,2,2,2
8x8_Suguru-1172,Suguru-1172,8x8,64,13,4.923076923076923,3,12,0.885383983000338,213,14,2379,160,True,1702,226,324,84,43,0
8x8_Suguru-1226,Suguru-1226,8x8,64,14,4.571428571428571,2,8,0.23766898899975786,72,9,995,40,True,552,106,103,138,59,37
8x8_Suguru-1239,Suguru-1239,8x8,64,14,4.571428571428571,3,11,0.1459855099997185,42,11,519,19,True,346,79,33,36,15,10
8x8_Suguru-1254,Suguru-1254,8x8,64,13,4.923076923076923,2,13,0.14124334799998906,38,12,431,19,True,320,69,13,19,5,5
8x8_Suguru-1377,Suguru-1377,8x8,64,13,4.923076923076923,3,8,0.3977520370003731,104,15,1623,62,True,999,196,166,172,70,20
8x8_Suguru-1394,Suguru-1394,8x8,64,13,4.923076923076923,3,12,0.04240529599974252,12,7,164,2,True,114,27,0,12,9,2
8x8_Suguru-1403,Suguru-1403,8x8,64,15,4.266666666666667,3,10,0.02723491599999761,7,6,92,0,True,60,17,0,8,4,3
8x8_Suguru-1415,Suguru-1415,8x8,64,14,4.571428571428571,3,10,0.03069625099988116,8,5,110,0,True,74,21,9,6,0,0
8x8_Suguru-1424,Suguru-1424,8x8,64,14,4.571428571428571,3,10,0.6245671960000436,150,12,2356,88,True,1359,273,127,260,305,32
8x8_Suguru-1433,Suguru-1433,8x8,64,14,4.571428571428571,3,8,0.12591391000023577,30,12,693,13,True,473,73,18,87,39,3
8x8_Suguru-1437,Suguru-1437,8x8,64,14,4.571428571428571,3,10,0.04278691500030618,13,10,86,1,True,59,18,5,1,3,0
8x8_Suguru-1492,Suguru-1492,8x8,64,14,4.571428571428571,3,10,0.10219211100002212,26,9,453,13,True,290,74,17,58,11,3
8x8_Suguru-1501,Suguru-1501,8x8,64,13,4.923076923076923,3,12,0.021913638999649265,6,5,81,0,True,45,14,11,8,3,0
8x8_Suguru-0,Suguru-0,8x8,64,14,4.571428571428571,3,7,3.0969762760000776,874,18,14321,562,True,9347,1527,1033,1765,574,75
8x8_Suguru-62,Suguru-62,8x8,64,13,4.923076923076923,3,9,1.1505803130003187,309,16,4544,191,True,3376,435,219,197,224,93
8x8_Suguru-149,Suguru-149,8x8,64,13,4.923076923076923,3,14,0.8618476530000407,219,14,3640,135,True,1871,257,496,515,255,246
8x8_Suguru-186,Suguru-186,8x8,64,14,4.571428571428571,3,7,0.11224705099994026,34,9,311,16,True,224,48,7,28,4,0
8x8_Suguru-210,Suguru-210,8x8,64,14,4.571428571428571,2,8,0.08833513499985202,25,11,229,8,True,168,33,12,12,4,0
8x8_Suguru-277,Suguru-277,8x8,64,13,4.923076923076923,3,10,0.4500663409999106,123,13,2060,67,True,1073,258,285,237,177,30
8x8_Suguru-300,Suguru-300,8x8,64,13,4.923076923076923,3,11,0.1301080670000374,37,9,761,15,True,533,78,33,73,42,2
8x8_Suguru-339,Suguru-339,8x8,64,14,4.571428571428571,3,10,0.08937457800038828,25,14,230,10,True,174,35,11,9,1,0
8x8_Suguru-366,Suguru-366,8x8,64,14,4.571428571428571,3,10,0.03812934100005805,11,5,191,2,True,111,24,30,11,9,6
8x8_Suguru-423,Suguru-423,8x8,64,14,4.571428571428571,3,8,0.7922785279997697,227,26,3660,128,True,2408,467,330,246,152,57
8x8_Suguru-426,Suguru-426,8x8,64,14,4.571428571428571,3,10,0.013439046000257804,4,4,61,0,True,39,11,1,6,4,0
8x8_Suguru-480,Suguru-480,8x8,64,15,4.266666666666667,3,7,0.9564328000001296,271,19,3211,173,True,2105,265,245,375,139,82
8x8_Suguru-509,Suguru-509,8x8,64,14,4.571428571428571,2,11,0.07492467400015812,27,9,243,9,True,159,28,17,15,18,6
8x8_Suguru-511,Suguru-511,8x8,64,14,4.571428571428571,3,11,0.1197582859999784,35,7,629,18,True,385,93,39,82,30,0
8x8_Suguru-517,Suguru-517,8x8,64,14,4.571428571428571,3,10,1.9695786940001199,583,16,9425,389,True,6639,893,676,605,322,290
8x8_Suguru-584,Suguru-584,8x8,64,14,4.571428571428571,3,11,0.14205835899974772,47,12,444,23,True,345,48,22,23,4,2
8x8_Suguru-615,Suguru-615,8x8,64,14,4.571428571428571,3,11,0.08320028899970566,21,6,474,11,True,319,65,22,42,18,8
