,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dicas,tempo,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
8x8_Suguru-1551,Suguru-1551,8x8,64,15,4.266666666666667,10,0.029117275997123215,1,True,128,12,2,23,5,3
8x8_Suguru-27,Suguru-27,8x8,64,15,4.266666666666667,6,0.21112973400158808,11,True,840,214,170,338,222,42
8x8_Suguru-34,Suguru-34,8x8,64,14,4.571428571428571,11,0.043620757998724,3,True,115,35,13,11,6,2
8x8_Suguru-55,Suguru-55,8x8,64,14,4.571428571428571,10,0.028613902999495622,0,True,87,17,7,17,10,5
8x8_Suguru-200,Suguru-200,8x8,64,14,4.571428571428571,9,0.06699319600011222,6,True,284,42,27,91,66,25
8x8_Suguru-217,Suguru-217,8x8,64,14,4.571428571428571,9,0.18352046699874336,22,True,398,115,69,145,67,2
8x8_Suguru-251,Suguru-251,8x8,64,15,4.266666666666667,8,0.2614683440006047,20,True,1117,203,205,314,172,21
8x8_Suguru-270,Suguru-270,8x8,64,14,4.571428571428571,9,0.05313877899970976,2,True,167,43,37,22,8,1
8x8_Suguru-325,Suguru-325,8x8,64,14,4.571428571428571,12,0.037854163001611596,2,True,84,19,8,27,11,0
8x8_Suguru-333,Suguru-333,8x8,64,14,4.571428571428571,7,0.3126162340013252,40,True,823,208,193,141,53,18
8x8_Suguru-334,Suguru-334,8x8,64,14,4.571428571428571,7,0.019355770000402117,0,True,46,16,3,10,6,0
8x8_Suguru-379,Suguru-379,8x8,64,14,4.571428571428571,8,0.034332296996581135,2,True,94,25,18,15,0,31
8x8_Suguru-441,Suguru-441,8x8,64,14,4.571428571428571,9,0.29920267699708347,28,True,794,216,99,219,225,102
8x8_Suguru-479,Suguru-479,8x8,64,14,4.571428571428571,7,0.15286042500156327,19,True,344,90,59,97,43,13
8x8_Suguru-484,Suguru-484,8x8,64,14,4.571428571428571,9,0.12546453300092253,10,True,390,84,47,95,36,35
8x8_Suguru-488,Suguru-488,8x8,64,14,4.571428571428571,8,0.43974776299728546,28,True,1806,567,425,469,138,171
8x8_Suguru-533,Suguru-533,8x8,64,14,4.571428571428571,7,2.272531878999871,269,True,6708,1521,374,1467,904,698
8x8_Suguru-539,Suguru-539,8x8,64,14,4.571428571428571,10,0.07190427699970314,6,True,191,63,28,34,15,26
8x8_Suguru-591,Suguru-591,8x8,64,13,4.923076923076923,6,0.38596512299773167,27,True,1171,357,146,239,155,25
8x8_Suguru-640,Suguru-640,8x8,64,14,4.571428571428571,7,0.052197123997757444,2,True,164,37,24,41,27,10
8x8_Suguru-666,Suguru-666,8x8,64,15,4.266666666666667,6,0.03061755599992466,0,True,117,43,17,30,6,0
8x8_Suguru-667,Suguru-667,8x8,64,15,4.266666666666667,8,0.03686201199889183,0,True,70,21,14,17,13,4
8x8_Suguru-698,Suguru-698,8x8,64,13,4.923076923076923,9,0.02582128699941677,0,True,70,20,5,15,3,0
8x8_Suguru-701,Suguru-701,8x8,64,15,4.266666666666667,5,0.05268098899978213,4,True,82,23,19,12,0,2
8x8_Suguru-703,Suguru-703,8x8,64,14,4.571428571428571,8,0.06789738299994497,5,True,193,54,33,82,24,22
8x8_Suguru-733,Suguru-733,8x8,64,14,4.571428571428571,7,0.029047960000752937,0,True,81,19,9,15,6,2
8x8_Suguru-919,Suguru-919,8x8,64,14,4.571428571428571,10,0.06573673800085089,5,True,147,33,8,24,12,0
8x8_Suguru-1006,Suguru-1006,8x8,64,14,4.571428571428571,9,0.18308114200044656,25,True,424,100,22,173,13,5
8x8_Suguru-1022,Suguru-1022,8x8,64,15,4.266666666666667,12,0.08955258499918273,10,True,270,56,91,60,7,2
8x8_Suguru-1044,Suguru-1044,8x8,64,14,4.571428571428571,8,0.027787270002590958,1,True,70,16,14,7,7,4
8x8_Suguru-1220,Suguru-1220,8x8,64,14,4.571428571428571,10,0.14904044200011413,15,True,443,89,2,46,135,19
8x8_Suguru-1268,Suguru-1268,8x8,64,14,4.571428571428571,10,0.10530845100220176,11,True,427,95,38,46,25,2
