,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dicas,tempo,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
6x6_Suguru-45,Suguru-45,6x6,36,8,4.5,8,0.0024298529970110394,0,True,21,7,0,3,0,0
6x6_Suguru-102,Suguru-102,6x6,36,8,4.5,7,0.0026720529967860784,0,True,21,8,5,3,0,0
6x6_Suguru-238,Suguru-238,6x6,36,8,4.5,8,0.0032739110029069707,0,True,21,7,0,10,1,0
6x6_Suguru-367,Suguru-367,6x6,36,8,4.5,7,0.0025745399980223738,0,True,23,6,0,5,0,0
6x6_Suguru-450,Suguru-450,6x6,36,8,4.5,8,0.0022499400001834147,0,True,18,10,0,6,0,0
6x6_Suguru-498,Suguru-498,6x6,36,8,4.5,9,0.002340482998988591,0,True,21,6,4,5,0,0
6x6_Suguru-506,Suguru-506,6x6,36,9,4.0,7,0.002643019997776719,0,True,22,7,2,1,2,3
6x6_Suguru-532,Suguru-532,6x6,36,8,4.5,6,0.002214615000411868,0,True,22,8,4,1,0,0
6x6_Suguru-541,Suguru-541,6x6,36,8,4.5,8,0.002476806999766268,0,True,20,8,2,3,1,0
6x6_Suguru-544,Suguru-544,6x6,36,8,4.5,10,0.001970401001017308,0,True,23,3,0,6,1,0
6x6_Suguru-651,Suguru-651,6x6,36,8,4.5,7,0.002759839000646025,0,True,22,7,2,5,1,0
6x6_Suguru-675,Suguru-675,6x6,36,8,4.5,7,0.002063618001557188,0,True,24,5,2,2,0,0
6x6_Suguru-797,Suguru-797,6x6,36,8,4.5,6,0.0022777849990234245,0,True,22,8,2,4,0,0
6x6_Suguru-803,Suguru-803,6x6,36,8,4.5,7,0.0023501200012105983,0,True,21,8,0,7,0,0
6x6_Suguru-838,Suguru-838,6x6,36,9,4.0,6,0.0026160679990425706,0,True,22,8,2,6,0,0
6x6_Suguru-1157,Suguru-1157,6x6,36,9,4.0,5,0.0021961090023978613,0,True,24,7,3,5,0,0
6x6_Suguru-1185,Suguru-1185,6x6,36,8,4.5,6,0.002468675000272924,0,True,24,6,2,7,0,0
6x6_Suguru-1199,Suguru-1199,6x6,36,8,4.5,7,0.0022363040006894153,0,True,20,9,4,2,0,0
6x6_Suguru-1234,Suguru-1234,6x6,36,9,4.0,6,0.002137974002835108,0,True,26,4,4,8,5,0
6x6_Suguru-1300,Suguru-1300,6x6,36,9,4.0,8,0.002174966997699812,0,True,21,7,4,8,0,0
6x6_Suguru-1339,Suguru-1339,6x6,36,8,4.5,7,0.002302622997376602,0,True,23,6,0,6,0,0
6x6_Suguru-1346,Suguru-1346,6x6,36,9,4.0,6,0.0022660030008410104,0,True,23,7,4,6,0,0
6x6_Suguru-1408,Suguru-1408,6x6,36,8,4.5,9,0.002322951000678586,0,True,24,3,4,3,3,0
6x6_Suguru-1420,Suguru-1420,6x6,36,8,4.5,6,0.0023644229986530263,0,True,23,7,2,4,0,0
6x6_Suguru-1476,Suguru-1476,6x6,36,8,4.5,7,0.0022118989982118364,0,True,23,6,2,6,0,0
6x6_Suguru-1527,Suguru-1527,6x6,36,8,4.5,6,0.0018259319986100309,0,True,22,8,6,4,0,0
6x6_Suguru-1530,Suguru-1530,6x6,36,9,4.0,7,0.0024964070034911856,0,True,23,6,0,6,1,0
6x6_Suguru-13,Suguru-13,6x6,36,8,4.5,7,0.002360661997954594,0,True,19,10,0,5,1,0
6x6_Suguru-17,Suguru-17,6x6,36,9,4.0,7,0.0022895269976288546,0,True,23,6,2,7,1,0
6x6_Suguru-21,Suguru-21,6x6,36,8,4.5,7,0.002754962999460986,0,True,23,6,0,4,3,5
6x6_Suguru-169,Suguru-169,6x6,36,8,4.5,6,0.0024508869973942637,0,True,23,7,0,6,0,0
6x6_Suguru-202,Suguru-202,6x6,36,8,4.5,6,0.0023548780009150505,0,True,24,6,0,6,2,0
6x6_Suguru-410,Suguru-410,6x6,36,9,4.0,8,0.002256755000416888,0,True,17,11,0,5,0,0
6x6_Suguru-433,Suguru-433,6x6,36,8,4.5,8,0.0019633270021586213,0,True,22,6,2,3,1,0
6x6_Suguru-439,Suguru-439,6x6,36,8,4.5,8,0.0021991569992678706,0,True,20,8,0,4,1,0
6x6_Suguru-578,Suguru-578,6x6,36,8,4.5,5,0.002198457001213683,0,True,21,10,2,8,1,0
6x6_Suguru-601,Suguru-601,6x6,36,9,4.0,6,0.002170687999750953,0,True,24,6,4,5,0,0
6x6_Suguru-619,Suguru-619,6x6,36,8,4.5,9,0.00843014400015818,0,True,32,6,3,4,0,0
6x6_Suguru-937,Suguru-937,6x6,36,8,4.5,5,0.0031066579977050424,0,True,25,6,7,4,0,0
6x6_Suguru-938,Suguru-938,6x6,36,8,4.5,7,0.003287202001956757,0,True,23,6,6,7,2,0
6x6_Suguru-990,Suguru-990,6x6,36,8,4.5,6,0.0025997449993155897,0,True,23,7,0,7,1,3
6x6_Suguru-994,Suguru-994,6x6,36,8,4.5,8,0.002482210999005474,0,True,22,6,4,4,0,0
6x6_Suguru-1058,Suguru-1058,6x6,36,8,4.5,6,0.0029751459987892304,0,True,24,6,0,8,1,0
6x6_Suguru-1282,Suguru-1282,6x6,36,8,4.5,10,0.0027738600001612213,0,True,23,3,4,6,2,0
6x6_Suguru-1405,Suguru-1405,6x6,36,8,4.5,7,0.0028483950009103864,0,True,23,6,6,4,0,0
6x6_Suguru-1518,Suguru-1518,6x6,36,8,4.5,8,0.002305677997355815,0,True,21,7,4,10,0,0
6x6_Suguru-112,Suguru-112,6x6,36,8,4.5,7,0.003802883999014739,0,True,24,5,5,4,0,0
6x6_Suguru-152,Suguru-152,6x6,36,8,4.5,4,0.0030042760008655023,0,True,22,10,3,4,0,0
6x6_Suguru-446,Suguru-446,6x6,36,8,4.5,5,0.0031015310014481656,0,True,23,8,13,4,0,0
6x6_Suguru-479,Suguru-479,6x6,36,9,4.0,8,0.0026204569985566195,0,True,20,8,2,6,0,0
6x6_Suguru-499,Suguru-499,6x6,36,8,4.5,7,0.002511384001991246,0,True,24,5,0,7,2,0
6x6_Suguru-574,Suguru-574,6x6,36,8,4.5,9,0.0037793689989484847,0,True,17,10,2,3,0,0
6x6_Suguru-583,Suguru-583,6x6,36,9,4.0,7,0.0032561930020165164,0,True,18,11,2,6,1,0
6x6_Suguru-786,Suguru-786,6x6,36,8,4.5,5,0.0030785519993514754,0,True,24,7,7,6,1,0
6x6_Suguru-825,Suguru-825,6x6,36,9,4.0,5,0.002790685000945814,0,True,24,7,2,5,0,3
6x6_Suguru-829,Suguru-829,6x6,36,8,4.5,7,0.003329306000523502,0,True,20,9,0,7,0,0
6x6_Suguru-878,Suguru-878,6x6,36,8,4.5,7,0.0031058549975568894,0,True,22,7,3,6,1,0
6x6_Suguru-893,Suguru-893,6x6,36,8,4.5,7,0.0030979859984654468,0,True,21,8,3,5,0,0
6x6_Suguru-947,Suguru-947,6x6,36,8,4.5,7,0.002396230000158539,0,True,22,7,3,6,0,0
6x6_Suguru-1025,Suguru-1025,6x6,36,8,4.5,6,0.0031615450025128666,0,True,20,10,4,6,1,0
6x6_Suguru-1026,Suguru-1026,6x6,36,8,4.5,6,0.002816657997755101,0,True,23,7,1,7,0,0
6x6_Suguru-1148,Suguru-1148,6x6,36,8,4.5,10,0.0024332410030183382,0,True,22,4,0,4,4,0
6x6_Suguru-1244,Suguru-1244,6x6,36,8,4.5,6,0.003334674001962412,0,True,23,7,4,6,1,0
6x6_Suguru-1257,Suguru-1257,6x6,36,8,4.5,7,0.002294537000125274,0,True,23,6,1,3,2,0
6x6_Suguru-1344,Suguru-1344,6x6,36,8,4.5,5,0.0029258069989737123,0,True,21,10,0,7,5,0
6x6_Suguru-1373,Suguru-1373,6x6,36,8,4.5,6,0.0025331370015919674,0,True,24,6,6,4,0,0
6x6_Suguru-1525,Suguru-1525,6x6,36,8,4.5,9,0.004642548999981955,0,True,42,4,4,4,0,0
6x6_Suguru-1574,Suguru-1574,6x6,36,8,4.5,6,0.0028458020024118014,0,True,24,6,3,6,1,0
6x6_Suguru-47,Suguru-47,6x6,36,8,4.5,6,0.004485335997742368,0,True,41,7,2,5,2,1
6x6_Suguru-80,Suguru-80,6x6,36,8,4.5,8,0.002801963000820251,0,True,23,5,6,2,0,0
6x6_Suguru-81,Suguru-81,6x6,36,8,4.5,7,0.002818861001287587,0,True,22,7,4,5,2,0
6x6_Suguru-115,Suguru-115,6x6,36,8,4.5,7,0.0031259770003089216,0,True,22,7,2,9,0,0
6x6_Suguru-198,Suguru-198,6x6,36,9,4.0,5,0.009907060997647932,1,True,72,12,10,15,0,0
6x6_Suguru-216,Suguru-216,6x6,36,8,4.5,8,0.002495937002095161,0,True,23,4,0,1,0,0
6x6_Suguru-271,Suguru-271,6x6,36,8,4.5,8,0.004803805997653399,0,True,25,5,0,5,0,0
6x6_Suguru-375,Suguru-375,6x6,36,8,4.5,9,0.0030017179997230414,0,True,22,5,3,2,0,1
6x6_Suguru-425,Suguru-425,6x6,36,9,4.0,8,0.004882692999672145,0,True,27,5,4,1,0,0
6x6_Suguru-429,Suguru-429,6x6,36,8,4.5,8,0.015046216001792345,0,True,48,15,6,9,0,0
6x6_Suguru-465,Suguru-465,6x6,36,8,4.5,7,0.004683599003328709,0,True,18,9,4,2,0,0
6x6_Suguru-505,Suguru-505,6x6,36,9,4.0,5,0.002974766000988893,0,True,23,7,0,3,0,0
6x6_Suguru-604,Suguru-604,6x6,36,9,4.0,5,0.0032619170015095733,0,True,20,11,5,3,0,0
